,;gram;pu;P;1
velas;nom;;CVCVC;9229
nulos;adj;;CVCVC;9268
hutus;adj;;CVCVC;9287
inter;gram;ec;VCCVC;9315
ruins;adj;;CVVCC;9324
suíço;adj;;CVVCV;9348
surto;nom;;CVCCV;9349
útero;nom;;VCVCV;9350
vazio;nom;;CVCVV;9351
garra;nom;;CVCCV;9370
sadia;adj;;CVCVV;9383
tenso;adj;;CVCCV;9388
leito;nom;;CVVCV;9402
testa;nom;;CVCCV;9413
áudio;nom;;VVCVV;9418
doces;nom;;CVCVC;9421
freio;nom;;CCVVV;9424
então;nom;;VCCVV;9448
seita;nom;;CVVCV;9465
civil;nom;;CVCVC;9480
forte;nom;;CVCCV;9492
games;nom;;CVCVC;9493
chama;nom;;CCVCV;9518
mudas;adj;;CVCVC;9529
junta;nom;;CVCCV;9554
terno;nom;;CVCCV;9600
ramal;nom;;CVCVC;9622
selva;nom;;CVCCV;9624
ricas;adj;;CVCVC;9661
creme;nom;;CCVCV;9674
vacas;nom;;CVCVC;9689
cifra;nom;;CVCCV;9696
sueco;nom;;CVVCV;9724
tribo;nom;;CCVCV;9749
chato;adj;;CCVCV;9790
crack;nom;;CCVCC;9797
censo;nom;;CVCCV;9827
fauna;nom;;CVVCV;9836
titãs;nom;;CVCVC;9848
donde;adv;;CVCCV;9862
pouso;nom;;CVVCV;9883
errar;ver;;VCCVC;9902
fisco;nom;;CVCCV;9904
rodar;ver;;CVCVC;9919
cobre;nom;;CVCCV;9934
berço;nom;;CVCCV;9964
netos;nom;;CVCVC;9977
sobra;nom;;CVCCV;9981
tubos;nom;;CVCVC;9984
ciúme;nom;;CVVCV;10040
poste;nom;;CVCCV;10059
vivas;adj;;CVCVC;10064
meia-;nom;;CVVV-;10115
muros;nom;;CVCVC;10117
digna;adj;;CVCCV;10151
frias;adj;;CCVVC;10202
móvel;adj;;CVCVC;10208
peste;nom;;CVCCV;10209
tédio;nom;;CVCVV;10219
urina;nom;;VCVCV;10224
somar;ver;;CVCVC;10256
afora;adv;;VCVCV;10267
belos;adj;;CVCVC;10272
luvas;nom;;CVCVC;10289
vasta;adj;;CVCCV;10305
louca;adj;;CVVCV;10324
pódio;nom;;CVCVV;10329
porco;nom;;CVCCV;10330
saias;nom;;CVVVC;10338
nisto;gram;prp+spec;CVCCV;10406
vilão;nom;;CVCVV;10417
chope;nom;;CCVCV;10428
laser;nom;;CVCVC;10441
cofre;nom;;CVCCV;10459
lagos;nom;;CVCVC;10469
fúria;nom;;CVCVV;10497
sueca;adj;;CVVCV;10511
almas;nom;;VCCVC;10523
assim;adj;;VCCVC;10525
cinza;adj;;CVCCV;10528
grego;nom;;CCVCV;10585
táxis;nom;;CVCVC;10600
latim;nom;;CVCVC;10624
altar;nom;;VCCVC;10641
árabe;nom;;VCVCV;10644
calmo;adj;;CVCCV;10649
bacia;nom;;CVCVV;10681
gripe;nom;;CCVCV;10692
arcar;ver;;VCCVC;10712
etnia;nom;;VCCVV;10808
males;nom;;CVCVC;10821
senha;nom;;CVCCV;10835
lápis;nom;;CVCVC;10860
repor;ver;;CVCVC;10870
suíte;nom;;CVVCV;10922
vácuo;nom;;CVCVV;10926
vocal;adj;;CVCVC;10929
judeu;adj;;CVCVV;10952
lunar;adj;;CVCVC;10953
pausa;nom;;CVVCV;10958
visto;nom;;CVCCV;10972
botas;nom;;CVCVC;10979
baixa;nom;;CVVCV;11018
tumor;nom;;CVCVC;11047
ervas;nom;;VCCVC;11066
genro;nom;;CVCCV;11072
nuvem;nom;;CVCVC;11078
praga;nom;;CCVCV;11081
quota;nom;;CVVCV;11088
chips;nom;;CCVCC;11105
dente;nom;;CVCCV;11148
hábil;adj;;CVCVC;11155
manga;nom;;CVCCV;11177
noivo;nom;;CVVCV;11182
ramos;nom;;CVCVC;11185
leque;nom;;CVCVV;11218
prado;nom;;CCVCV;11225
grana;nom;;CCVCV;11255
pires;nom;;CVCVC;11389
altas;nom;;VCCVC;11406
aonde;adv;;VVCCV;11407
mover;ver;;CVCVC;11435
pular;ver;;CVCVC;11442
puxar;ver;;CVCVC;11443
choro;nom;;CCVCV;11468
naval;adj;;CVCVC;11487
sedes;nom;;CVCVC;11503
trato;nom;;CCVCV;11557
ativo;nom;;VCVCV;11567
rezar;ver;;CVCVC;11601
anexo;nom;;VCVCV;11612
balão;nom;;CVCVV;11616
rolar;ver;;CVCVC;11649
solos;nom;;CVCVC;11651
barro;nom;;CVCCV;11666
cafés;nom;;CVCVC;11668
magro;adj;;CVCCV;11686
aguda;adj;;VCVCV;11710
quina;nom;;CVVCV;11779
anjos;nom;;VCCVC;11787
viúva;adj;;CVVCV;11836
praxe;nom;;CCVCV;11867
vigia;nom;;CVCVV;11879
amiga;adj;;VCVCV;11886
eixos;nom;;VVCVC;11902
má-fé;nom;;CV-CV;11910
vagas;adj;;CVCVC;11931
bingo;nom;;CVCCV;11941
golfe;nom;;CVCCV;11959
acari;nom;;VCVCV;11990
mares;nom;;CVCVC;12027
pudor;nom;;CVCVC;12034
sócia;nom;;CVCVV;12043
capas;nom;;CVCVC;12057
folia;nom;;CVCVV;12074
pulso;nom;;CVCCV;12096
tigre;nom;;CVCCV;12102
vasto;adj;;CVCCV;12103
banal;adj;;CVCVC;12119
copos;nom;;CVCVC;12131
fetos;nom;;CVCVC;12141
tango;nom;;CVCCV;12161
aquém;adv;;VCVVC;12175
páreo;nom;;CVCVV;12205
unhas;nom;;VCCVC;12222
balsa;nom;;CVCCV;12228
cacau;nom;;CVCVV;12230
coral;nom;;CVCVC;12238
frete;nom;;CCVCV;12244
fuzil;nom;;CVCVC;12245
lenha;nom;;CVCCV;12250
óleos;nom;;VCVVC;12253
vaias;nom;;CVVVC;12264
anões;nom;;VCVVC;12272
barão;nom;;CVCVV;12275
drive;nom;;CCVCV;12287
leões;nom;;CVVVC;12301
vossa;gram;det;CVCCV;12329
adeus;gram;in;VCVVC;12332
ativa;nom;;VCVCV;12338
casca;nom;;CVCCV;12340
limão;nom;;CVCVV;12364
silva;nom;;CVCCV;12381
treze;num;;CCVCV;12385
lenço;nom;;CVCCV;12430
pavão;nom;;CVCVV;12437
rival;adj;;CVCVC;12445
suíça;adj;;CVVCV;12448
cachê;nom;;CVCCV;12461
rotas;nom;;CVCVC;12488
usual;adj;;VCVVC;12494
custa;nom;;CVCCV;12523
êxodo;nom;;VCVCV;12533
hobby;nom;;CVCCV;12538
poços;nom;;CVCVC;12553
sexos;nom;;CVCVC;12560
tenor;nom;;CVCVC;12562
rosas;nom;;CVCVC;12614
usado;adj;;VCVCV;12621
ração;nom;;CVCVV;12673
zulus;nom;;CVCVC;12686
deusa;nom;;CVVCV;12705
reter;ver;;CVCVC;12721
judeu;nom;;CVCVV;12765
caldo;nom;;CVCCV;12802
xerox;nom;;CVCVC;12847
boato;nom;;CVVCV;12861
sucos;nom;;CVCVC;12915
curar;ver;;CVCVC;12943
saúde;gram;in;CVVCV;12978
tutsi;adj;;CVCCV;13040
xeque;nom;;CVCVV;13045
maior;nom;;CVVVC;13081
sacar;ver;;CVCVC;13091
tensa;adj;;CVCCV;13092
finos;adj;;CVCVC;13125
grade;nom;;CCVCV;13129
sêmen;nom;;CVCVC;13160
zerar;ver;;CVCVC;13168
loira;adj;;CVVCV;13201
mando;nom;;CVCCV;13204
punho;nom;;CVCCV;13217
bonde;nom;;CVCCV;13235
farol;nom;;CVCVC;13256
ferir;ver;;CVCVC;13327
burro;nom;;CVCCV;13380
finas;adj;;CVCVC;13396
manto;nom;;CVCCV;13412
meter;ver;;CVCVC;13414
pêlos;nom;;CVCVC;13418
sonda;nom;;CVCCV;13431
ninho;nom;;CVCCV;13491
sauna;nom;;CVVCV;13587
forró;nom;;CVCCV;13628
matas;nom;;CVCVC;13635
rumor;nom;;CVCVC;13651
adeus;nom;;VCVVC;13665
pinga;nom;;CVCCV;13713
pique;nom;;CVCVV;13714
touro;nom;;CVVCV;13727
belga;nom;;CVCCV;13744
feroz;adj;;CVCVC;13773
motel;nom;;CVCVC;13790
óvulo;nom;;VCVCV;13795
frear;ver;;CCVVC;13858
pisos;nom;;CVCVC;13873
conde;nom;;CVCCV;13903
girar;ver;;CVCVC;13922
misto;nom;;CVCCV;13927
picos;nom;;CVCVC;13937
secas;adj;;CVCVC;13948
tampa;nom;;CVCCV;13951
concl;nom;;CVCCC;13974
haras;nom;;CVCVC;13995
pilha;nom;;CVCCV;14006
doces;adj;;CVCVC;14048
flora;nom;;CCVCV;14051
fogão;nom;;CVCVV;14052
pesar;ver;;CVCVC;14070
geada;nom;;CVVCV;14125
opala;nom;;VCVCV;14142
lente;nom;;CVCCV;14212
nadar;ver;;CVCVC;14218
nobel;nom;;CVCVC;14219
canoa;nom;;CVCVV;14250
dance;nom;;CVCCV;14260
jejum;nom;;CVCVC;14281
pasto;nom;;CVCCV;14296
radar;nom;;CVCVC;14300
cisão;nom;;CVCVV;14331
laser;adj;;CVCVC;14371
vulto;nom;;CVCCV;14405
duros;adj;;CVCVC;14442
falas;nom;;CVCVC;14445
irmão;adj;;VCCVV;14454
anéis;nom;;VCVVC;14497
aroma;nom;;VCVCV;14499
filão;nom;;CVCVV;14522
gorda;adj;;CVCCV;14527
peles;nom;;CVCVC;14548
abalo;nom;;VCVCV;14582
abate;nom;;VCVCV;14583
cunho;nom;;CVCCV;14610
cupom;nom;;CVCVC;14611
fiéis;adj;;CVVVC;14627
podre;adj;;CVCCV;14649
trupe;nom;;CCVCV;14670
vales;nom;;CVCVC;14671
aliar;ver;;VCVVC;14680
delta;nom;;CVCCV;14701
fólio;nom;;CVCVV;14715
fraco;nom;;CCVCV;14718
frios;adj;;CCVVC;14720
ligas;nom;;CVCVC;14729
linho;nom;;CVCCV;14731
nervo;nom;;CVCCV;14738
racha;nom;;CVCCV;14742
sogro;nom;;CVCCV;14749
afeto;nom;;VCVCV;14764
sutiã;nom;;CVCVV;14821
posar;ver;;CVCVC;14901
tecla;nom;;CVCCV;14917
vetar;ver;;CVCVC;14921
cabra;nom;;CVCCV;14942
fezes;nom;;CVCVC;14960
magno;adj;;CVCCV;14975
sogra;nom;;CVCCV;15073
suíço;nom;;CVVCV;15075
vilas;nom;;CVCVC;15084
lança;nom;;CVCCV;15135
veias;nom;;CVVVC;15163
camas;nom;;CVCVC;15186
feita;nom;;CVVCV;15211
limpa;adj;;CVCCV;15222
porão;nom;;CVCVV;15236
prima;adj;;CCVCV;15240
puros;adj;;CVCVC;15243
rampa;nom;;CVCCV;15244
agudo;adj;;VCVCV;15278
risca;nom;;CVCCV;15337
sábio;nom;;CVCVV;15339
fadas;nom;;CVCVC;15402
menor;nom;;CVCVC;15416
aluna;nom;;VCVCV;15464
guiar;ver;;CVVVC;15502
loura;adj;;CVVCV;15510
meros;adj;;CVCVC;15513
traje;nom;;CCVCV;15565
vetos;nom;;CVCVC;15570
zelar;ver;;CVCVC;15571
calar;ver;;CVCVC;15593
cover;nom;;CVCVC;15605
mútuo;adj;;CVCVV;15633
pisar;ver;;CVCVC;15645
secos;adj;;CVCVC;15657
sopro;nom;;CVCCV;15659
calma;adj;;CVCCV;15683
flash;nom;;CCVCC;15713
vazão;nom;;CVCVV;15760
ática;adj;;VCVCV;15778
barça;nom;;CVCCV;15779
doido;adj;;CVVCV;15806
magra;adj;;CVCCV;15835
telex;nom;;CVCVC;15869
arame;nom;;VCVCV;15890
bocas;nom;;CVCVC;15900
bonés;nom;;CVCVC;15901
furor;nom;;CVCVC;15932
motim;nom;;CVCVC;15952
point;nom;;CVVCC;15963
trios;nom;;CCVVC;15981
bruxa;nom;;CCVCV;16000
cheio;nom;;CCVVV;16006
gíria;nom;;CVCVV;16039
gozar;ver;;CVCVC;16040
índia;nom;;VCCVV;16045
burro;adj;;CVCCV;16098
dadas;adj;;CVCVC;16119
farda;nom;;CVCCV;16133
gotas;nom;;CVCVC;16137
imune;adj;;VCVCV;16141
nudez;nom;;CVCVC;16153
óxido;nom;;VCVCV;16155
ápice;nom;;VCVCV;16214
blusa;nom;;CCVCV;16223
facas;nom;;CVCVC;16253
sódio;nom;;CVCVV;16289
surdo;adj;;CVCCV;16292
ícone;nom;;VCVCV;16363
lares;nom;;CVCVC;16373
povão;nom;;CVCVV;16388
puras;adj;;CVCVC;16391
socos;nom;;CVCVC;16405
vetor;nom;;CVCVC;16422
acaso;adv;;VCVCV;16433
brisa;nom;;CCVCV;16445
óssea;adj;;VCCVV;16500
baixo;nom;;CVVCV;16552
bolha;nom;;CVCCV;16555
épico;nom;;VCVCV;16585
mágoa;nom;;CVCVV;16721
moção;nom;;CVCVV;16723
apito;nom;;VCVCV;16781
aptos;adj;;VCCVC;16782
cauda;nom;;CVVCV;16792
fugas;nom;;CVCVC;16825
macho;nom;;CVCCV;16838
robôs;nom;;CVCVC;16865
torta;adj;;CVCCV;16876
bacon;nom;;CVCVC;16898
caçar;ver;;CVCVC;16902
capim;nom;;CVCVC;16904
feras;nom;;CVCVC;16946
judia;nom;;CVCVV;16962
patos;nom;;CVCVC;16977
borda;nom;;CVCCV;17026
culto;adj;;CVCCV;17041
donas;nom;;CVCVC;17049
galho;nom;;CVCCV;17066
sutis;adj;;CVCVC;17122
dunas;nom;;CVCVC;17164
duque;nom;;CVCVV;17165
extra;nom;;VCCCV;17177
pornô;adj;;CVCCV;17213
saldo;adj;;CVCCV;17235
tênue;adj;;CVCVV;17246
watts;nom;;CVCCC;17255
gesso;nom;;CVCCV;17306
jipes;nom;;CVCVC;17316
fosso;nom;;CVCCV;17433
furar;ver;;CVCVC;17435
mercê;nom;;CVCCV;17453
modas;nom;;CVCVC;17455
revel;adj;;CVCVC;17482
chata;adj;;CCVCV;17537
farra;nom;;CVCCV;17561
plana;adj;;CCVCV;17606
colar;nom;;CVCVC;17674
múmia;nom;;CVCVV;17730
nicho;nom;;CVCCV;17732
vices;nom;;CVCVC;17778
amada;nom;;VCVCV;17795
letal;adj;;CVCVC;17857
palma;nom;;CVCCV;17865
pavor;nom;;CVCVC;17870
russa;nom;;CVCCV;17890
trair;ver;;CCVVC;17902
ânsia;nom;;VCCVV;17923
batom;nom;;CVCVC;17926
feixe;nom;;CVVCV;17966
imago;nom;;VCVCV;17971
macia;adj;;CVCVV;17979
round;nom;;CVVCC;18023
ruína;nom;;CVVCV;18024
talão;nom;;CVCVV;18032
bambu;nom;;CVCCV;18073
cerca;nom;;CVCCV;18081
dotes;nom;;CVCVC;18101
hinos;nom;;CVCVC;18118
idoso;adj;;VCVCV;18120
mosca;nom;;CVCCV;18138
presa;nom;;CCVCV;18149
ritos;nom;;CVCVC;18163
sinos;nom;;CVCVC;18169
verve;nom;;CVCCV;18178
ágeis;adj;;VCVVC;18195
arcos;nom;;VCCVC;18202
clero;nom;;CCVCV;18218
jatos;nom;;CVCVC;18271
naves;nom;;CVCVC;18287
óbito;nom;;VCVCV;18291
busto;nom;;CVCCV;18360
cines;nom;;CVCVC;18365
golfo;nom;;CVCCV;18401
punks;nom;;CVCCC;18445
trevo;nom;;CCVCV;18468
úmido;adj;;VCVCV;18471
densa;adj;;CVCCV;18524
dique;nom;;CVCVV;18527
mútua;adj;;CVCVV;18570
negão;nom;;CVCVV;18572
palmo;nom;;CVCCV;18576
zebra;nom;;CVCCV;18625
caber;ver;;CVCVC;18646
cetim;nom;;CVCVC;18649
gueto;nom;;CVVCV;18704
heavy;adj;;CVVCV;18705
móvel;nom;;CVCVC;18738
vinil;nom;;CVCVC;18786
cerne;nom;;CVCCV;18819
ditas;adj;;CVCVC;18837
merda;nom;;CVCCV;18870
morna;adj;;CVCCV;18874
tapar;ver;;CVCVC;18912
tórax;nom;;CVCVC;18917
zinco;nom;;CVCCV;18927
álibi;nom;;VCVCV;18944
babel;nom;;CVCVC;18952
besta;nom;;CVCCV;18954
miolo;nom;;CVVCV;19022
perus;nom;;CVCVC;19029
pinta;nom;;CVCCV;19030
algas;nom;;VCCVC;19093
cinza;nom;;CVCCV;19114
farta;adj;;CVCCV;19140
funda;adj;;CVCCV;19147
louça;nom;;CVVCV;19166
monge;nom;;CVCCV;19168
ousar;ver;;VVCVC;19175
santo;adj;;CVCCV;19212
tábua;nom;;CVCVV;19218
varas;nom;;CVCVC;19225
zeros;nom;;CVCVC;19233
colar;ver;;CVCVC;19272
ex-pm;nom;;VC-CC;19311
fluir;ver;;CCVVC;19315
macho;adj;;CVCCV;19338
molas;nom;;CVCVC;19346
ronda;nom;;CVCCV;19370
veras;nom;;CVCVC;19388
crivo;nom;;CCVCV;19436
denso;adj;;CVCCV;19441
model;nom;;CVCVC;19505
panos;nom;;CVCVC;19516
pingo;nom;;CVCCV;19518
polar;adj;;CVCVC;19519
vale-;nom;;CVCV-;19558
apego;nom;;VCVCV;19586
coral;adj;;CVCVC;19610
credo;nom;;CCVCV;19611
damas;nom;;CVCVC;19615
frade;nom;;CCVCV;19644
xiita;nom;;CVVCV;19719
crepe;nom;;CCVCV;19785
paulo;nom;;CVVCV;19872
pompa;nom;;CVCCV;19878
sujas;adj;;CVCVC;19906
bazar;nom;;CVCVC;19948
cravo;nom;;CCVCV;19970
fêmea;nom;;CVCVV;19998
furos;nom;;CVCVC;20003
gerir;ver;;CVCVC;20006
meras;adj;;CVCVC;20026
peões;nom;;CVVVC;20038
tecno;adj;;CVCCV;20071
bunda;nom;;CVCCV;20125
clics;nom;;CCVCC;20136
febre;adj;;CVCCV;20174
névoa;nom;;CVCVV;20207
pedal;nom;;CVCVC;20216
pesar;nom;;CVCVC;20220
secas;nom;;CVCVC;20242
sírio;adj;;CVCVV;20249
tento;nom;;CVCCV;20258
tunga;nom;;CVCCV;20265
vagos;adj;;CVCVC;20266
vosso;gram;det;CVCCV;20272
afeta;adj;;VCVCV;20292
brasa;nom;;CCVCV;20305
close;nom;;CCVCV;20315
ditar;ver;;CVCVC;20328
jihad;nom;;CVCVC;20364
unido;adj;;VCVCV;20433
valia;nom;;CVCVV;20435
afins;adj;;VCVCC;20462
canos;nom;;CVCVC;20479
culta;adj;;CVCCV;20494
fenda;nom;;CVCCV;20525
flats;nom;;CCVCC;20527
latim;adj;;CVCVC;20551
oásis;nom;;VVCVC;20569
potes;nom;;CVCVC;20583
salsa;nom;;CVCCV;20607
sopas;nom;;CVCVC;20611
bolos;nom;;CVCVC;20665
burra;adj;;CVCCV;20667
épica;adj;;VCVCV;20716
monta;nom;;CVCCV;20764
pivôs;nom;;CVCVC;20786
prece;nom;;CCVCV;20791
ultra;adv;;VCCCV;20831
ditos;adj;;CVCVC;20899
ímpar;adj;;VCCVC;20932
lapso;nom;;CVCCV;20943
lycra;nom;;CVCCV;20947
mogno;nom;;CVCCV;20955
patas;nom;;CVCVC;20964
world;nom;;CVCCC;21022
ácida;adj;;VCVCV;21039
ardor;nom;;VCCVC;21050
bicos;nom;;CVCVC;21059
dobra;nom;;CVCCV;21097
gibis;nom;;CVCVC;21121
horta;nom;;CVCCV;21125
lábio;nom;;CVCVV;21142
licor;nom;;CVCVC;21144
liras;nom;;CVCVC;21147
macio;adj;;CVCVV;21149
molar;nom;;CVCVC;21156
nobel;adj;;CVCVC;21164
polpa;nom;;CVCCV;21177
sushi;nom;;CVCCV;21208
tosse;nom;;CVCCV;21218
vulgo;adv;;CVCCV;21226
anexo;adj;;VCVCV;21245
épico;adj;;VCVCV;21314
fêmur;nom;;CVCVC;21330
maçãs;nom;;CVCVC;21361
natal;nom;;CVCVC;21375
sábio;adj;;CVCVV;21412
seara;nom;;CVVCV;21419
staff;nom;;CCVCC;21428
tesão;nom;;CVCVV;21436
adubo;nom;;VCVCV;21469
águia;nom;;VCVVV;21474
aspas;nom;;VCCVC;21489
mesas;adj;;CVCVC;21609
sumir;ver;;CVCVC;21660
amado;adj;;VCVCV;21697
coxas;nom;;CVCVC;21734
dueto;nom;;CVVCV;21754
latão;nom;;CVCVV;21806
sujos;adj;;CVCVC;21883
tabus;nom;;CVCVC;21886
ursos;nom;;VCCVC;21894
vazar;ver;;CVCVC;21897
vocal;nom;;CVCVC;21900
vodca;nom;;CVCCV;21901
carnê;nom;;CVCCV;21944
fardo;nom;;CVCCV;21998
forro;nom;;CVCCV;22006
jegue;nom;;CVCVV;22032
papas;nom;;CVCVC;22061
tapas;nom;;CVCVC;22109
trote;nom;;CCVCV;22120
tutor;nom;;CVCVC;22122
video;gram;ec;CVCVV;22127
balde;nom;;CVCCV;22176
tetos;nom;;CVCVC;22335
úmida;adj;;VCVCV;22340
clips;nom;;CCVCC;22403
dotar;ver;;CVCVC;22435
input;nom;;VCCVC;22481
ósseo;adj;;VCCVV;22514
prêt-;nom;;CCVC-;22539
rugas;nom;;CVCVC;22559
tosca;adj;;CVCCV;22579
casta;nom;;CVCCV;22648
crase;nom;;CCVCV;22673
lombo;nom;;CVCCV;22747
rasos;adj;;CVCVC;22791
sanar;ver;;CVCVC;22803
skate;nom;;CCVCV;22812
úteis;nom;;VCVVC;22832
xampu;nom;;CVCCV;22835
abade;nom;;VCVCV;22848
aveia;nom;;VCVVV;22870
débil;adj;;CVCVC;22915
grata;adj;;CCVCV;22960
hiato;nom;;CVVCV;22962
looks;nom;;CVVCC;22984
morno;adj;;CVCCV;22993
persa;adj;;CVCCV;23009
prego;nom;;CCVCV;23016
tenda;nom;;CVCCV;23058
tripé;nom;;CCVCV;23065
usada;adj;;VCVCV;23069
vitro;nom;;CVCCV;23076
xerox;adj;;CVCVC;23079
brava;adj;;CCVCV;23121
front;nom;;CCVCC;23187
orais;adj;;VCVVC;23230
reger;ver;;CVCVC;23265
sabiá;nom;;CVCVV;23276
canja;nom;;CVCCV;23370
éguas;nom;;VCVVC;23421
orgia;nom;;VCCVV;23512
ovais;adj;;VCVVC;23514
pluma;nom;;CCVCV;23526
relva;nom;;CVCCV;23551
cacos;nom;;CVCVC;23665
cloro;nom;;CCVCV;23683
dendê;nom;;CVCCV;23704
droga;adj;;CCVCV;23718
frevo;nom;;CCVCV;23746
haste;nom;;CVCCV;23751
leais;adj;;CVVVC;23776
logos;nom;;CVCVC;23778
moços;nom;;CVCVC;23786
rimas;nom;;CVCVC;23833
alças;nom;;VCCVC;23895
bravo;adj;;CCVCV;23910
caças;nom;;CVCVC;23913
calda;nom;;CVCCV;23915
dogma;nom;;CVCCV;23963
farto;adj;;CVCCV;23980
garça;nom;;CVCCV;23990
órfão;nom;;VCCVV;24041
sábia;adj;;CVCVV;24095
somas;nom;;CVCVC;24101
surra;nom;;CVCCV;24107
valsa;nom;;CVCCV;24124
veado;nom;;CVVCV;24125
ácido;adj;;VCVCV;24151
afora;gram;prp;VCVCV;24158
ameno;adj;;VCVCV;24165
cabal;adj;;CVCVC;24187
casco;nom;;CVCCV;24192
cegos;nom;;CVCVC;24194
draft;adj;;CCVCC;24242
falho;adj;;CVCCV;24257
garfo;nom;;CVCCV;24271
gruta;nom;;CCVCV;24279
leigo;nom;;CVVCV;24301
maços;nom;;CVCVC;24306
minar;ver;;CVCVC;24316
molde;nom;;CVCCV;24318
nozes;nom;;CVCVC;24325
sacra;adj;;CVCCV;24365
secar;ver;;CVCVC;24368
shack;nom;;CCVCC;24372
surda;adj;;CVCCV;24378
tiras;nom;;CVCVC;24386
aceno;nom;;VCVCV;24417
árdua;adj;;VCCVV;24434
cível;adj;;CVCVC;24452
feias;adj;;CVVVC;24518
galos;nom;;CVCVC;24532
house;adj;;CVVCV;24545
judas;nom;;CVCVC;24564
látex;nom;;CVCVC;24567
menus;nom;;CVCVC;24581
ocaso;nom;;VCVCV;24592
pazes;nom;;CVCVC;24603
pipas;nom;;CVCVC;24608
sexto;nom;;CVCCV;24648
torto;adj;;CVCCV;24663
trigo;adj;;CCVCV;24671
unida;adj;;VCVCV;24675
cegos;adj;;CVCVC;24738
cueca;nom;;CVVCV;24761
drags;nom;;CCVCC;24778
foice;nom;;CVVCV;24802
forca;nom;;CVCCV;24803
gêmeo;adj;;CVCVV;24806
lobos;nom;;CVCVC;24839
rifle;nom;;CVCCV;24921
rocks;nom;;CVCCC;24922
spray;nom;;CCCVV;24933
terno;adj;;CVCCV;24945
tinto;nom;;CVCCV;24947
arara;nom;;VCVCV;25002
balés;nom;;CVCVC;25019
beato;nom;;CVVCV;25021
beque;nom;;CVCVV;25024
besta;adj;;CVCCV;25025
fetal;adj;;CVCVC;25121
lauda;nom;;CVVCV;25163
ômega;nom;;VCVCV;25189
primo;adj;;CCVCV;25215
recém;adv;;CVCVC;25223
sadio;adj;;CVCVV;25246
árias;nom;;VCVVC;25331
bicha;nom;;CVCCV;25345
feios;adj;;CVVVC;25437
happy;nom;;CVCCV;25452
idosa;adj;;VCVCV;25456
limbo;nom;;CVCCV;25475
lotar;ver;;CVCVC;25480
malte;nom;;CVCCV;25483
mansa;adj;;CVCCV;25486
marra;nom;;CVCCV;25489
ódios;nom;;VCVVC;25509
renal;adj;;CVCVC;25568
suína;adj;;CVVCV;25591
turco;adj;;CVCCV;25611
urubu;nom;;VCVCV;25612
volts;nom;;CVCCC;25621
atroz;adj;;VCCVC;25658
botes;nom;;CVCVC;25665
frame;nom;;CCVCV;25758
fútil;adj;;CVCVC;25764
malta;nom;;CVCCV;25808
medos;nom;;CVCVC;25814
mirim;adj;;CVCVC;25825
pinha;nom;;CVCCV;25856
queen;nom;;CVVVC;25875
taxar;ver;;CVCVC;25917
visor;nom;;CVCVC;25941
césio;nom;;CVCVV;26032
cinta;nom;;CVCCV;26034
fugaz;adj;;CVCVC;26131
lages;nom;;CVCVC;26163
madre;nom;;CVCCV;26173
pulga;nom;;CVCCV;26224
sapos;nom;;CVCVC;26245
supra;gram;ec;CVCCV;26266
venal;adj;;CVCVC;26286
amido;nom;;VCVCV;26321
board;nom;;CVVCC;26350
capaz;gram;in;CVCVC;26361
cisne;nom;;CVCCV;26371
cones;nom;;CVCVC;26381
cunha;nom;;CVCCV;26392
frios;nom;;CCVVC;26458
ileso;adj;;VCVCV;26479
ítens;nom;;VCVCC;26503
mammy;nom;;CVCCV;26517
musas;nom;;CVCVC;26532
prole;nom;;CCVCV;26578
tombo;nom;;CVCCV;26631
trash;nom;;CCVCC;26636
turca;adj;;CVCCV;26638
vagão;nom;;CVCVV;26641
amada;adj;;VCVCV;26696
amado;nom;;VCVCV;26697
cárie;nom;;CVCVV;26734
chalé;nom;;CCVCV;26737
gafes;nom;;CVCVC;26836
lavra;nom;;CVCCV;26872
lepra;nom;;CVCCV;26873
macas;nom;;CVCVC;26879
media;nom;;CVCVV;26885
míope;adj;;CVVCV;26893
pleno;nom;;CCVCV;26924
árduo;adj;;VCCVV;27049
cegas;adj;;CVCVC;27080
chato;nom;;CCVCV;27084
chefs;nom;;CCVCC;27085
cotia;nom;;CVCVV;27113
décor;nom;;CVCVC;27118
hindu;adj;;CVCCV;27197
loiro;adj;;CVVCV;27222
macro;adj;;CVCCV;27225
opaco;adj;;VCVCV;27255
pampa;nom;;CVCCV;27264
pente;nom;;CVCCV;27272
pólen;nom;;CVCVC;27285
reler;ver;;CVCVC;27308
rublo;nom;;CVCCV;27321
short;nom;;CCVCC;27326
sofás;nom;;CVCVC;27332
telha;nom;;CVCCV;27343
viril;adj;;CVCVC;27369
âmago;nom;;VCVCV;27421
caule;nom;;CVVCV;27457
cedro;nom;;CVCCV;27459
cheia;nom;;CCVVV;27461
covas;nom;;CVCVC;27485
divas;nom;;CVCVC;27523
ducha;nom;;CVCCV;27528
guará;nom;;CVVCV;27580
joint;nom;;CVVCC;27619
lebre;nom;;CVCCV;27621
lisos;adj;;CVCVC;27626
odiar;ver;;VCVVC;27657
poros;nom;;CVCVC;27685
sujar;ver;;CVCVC;27745
swing;nom;;CCVCC;27747
tarja;nom;;CVCCV;27749
varão;nom;;CVCVV;27759
baião;nom;;CVVVV;27836
breve;adv;;CCVCV;27847
dublê;nom;;CVCCV;27912
